,company,url,label
68,nirav modi,https://economictimes.indiatimes.com/news/politics-and-nation/pm-narendra-modi-under-fire-as-2-billion-india-fraud-hits-anti-graft-image/articleshow/63363173.cms,corruption
69,nirav modi,https://economictimes.indiatimes.com/news/politics-and-nation/pm-narendra-modi-under-fire-as-2-billion-india-fraud-hits-anti-graft-image/articleshow/63363173.cms,corruption
70,nirav modi,https://www.telegraph.co.uk/news/2019/11/06/billionaire-diamond-jeweller-attacked-prison-extortion-attempt/,corruption
71,nirav modi,https://www.telegraph.co.uk/news/2019/11/06/billionaire-diamond-jeweller-attacked-prison-extortion-attempt/,corruption
72,nirav modi,https://www.businesstoday.in/current/corporate/nirav-modi-continues-to-fleece-people-even-after-pnb-scam/story/284382.html,fraud
73,nirav modi,https://www.businesstoday.in/current/corporate/nirav-modi-continues-to-fleece-people-even-after-pnb-scam/story/284382.html,fraud
74,nirav modi,https://www.businesstoday.in/opinion/columns/naresh-goyal-nirav-modi-vijay-mallya-london-britain-indian-fugitive/story/351019.html,corruption
75,nirav modi,https://www.businesstoday.in/opinion/columns/naresh-goyal-nirav-modi-vijay-mallya-london-britain-indian-fugitive/story/351019.html,corruption
76,nirav modi,https://www.businesstoday.in/latest/pnb-scam-ed-files-new-charge-sheet-against-nirav-modi-under-anti-money-laundering-law/story/326549.html,corruption
77,nirav modi,https://www.businesstoday.in/latest/pnb-scam-ed-files-new-charge-sheet-against-nirav-modi-under-anti-money-laundering-law/story/326549.html,corruption
78,nirav modi,https://www.businesstoday.in/current/corporate/nirav-modi-jewellery-designer-rs-11300-crore-pnb-fraud/story/270691.html,fraud
79,nirav modi,https://www.businesstoday.in/current/corporate/nirav-modi-jewellery-designer-rs-11300-crore-pnb-fraud/story/270691.html,fraud
80,nirav modi,https://edtimes.in/netflixs-bad-boy-billionaires-on-nirav-modi-mallya-in-legal-soup/,corruption
81,nirav modi,https://edtimes.in/netflixs-bad-boy-billionaires-on-nirav-modi-mallya-in-legal-soup/,corruption
82,nirav modi,https://www.ndtv.com/business/pnb-fraud-a-timeline-and-other-highlights-1821312,corruption
83,nirav modi,https://www.ndtv.com/business/pnb-fraud-a-timeline-and-other-highlights-1821312,corruption
84,nirav modi,https://www.businesstoday.in/latest/trends/i-am-not-anywhere-near-bankruptcy-when-vijay-mallya-once-mocked-donald-trump/story/418287.html,corruption
85,nirav modi,https://www.businesstoday.in/latest/trends/i-am-not-anywhere-near-bankruptcy-when-vijay-mallya-once-mocked-donald-trump/story/418287.html,corruption
86,nirav modi,https://www.hindustantimes.com/mumbai-news/ed-files-plea-to-extradite-nirav-modi-s-brother-in-14-000-crore-pnb-fraud-case/story-k1nmJn59v4dZ3BFxVnZ4WL.html,corruption
87,nirav modi,https://www.hindustantimes.com/mumbai-news/ed-files-plea-to-extradite-nirav-modi-s-brother-in-14-000-crore-pnb-fraud-case/story-k1nmJn59v4dZ3BFxVnZ4WL.html,corruption
88,nirav modi,https://hwnews.in/news/national-news/more-trouble-for-nirav-modi-as-he-is-accused-under-the-draconian-rico-act/85596,corruption
89,nirav modi,https://hwnews.in/news/national-news/more-trouble-for-nirav-modi-as-he-is-accused-under-the-draconian-rico-act/85596,corruption
90,nirav modi,https://www.businesstoday.in/current/economy-politics/nirav-modi-london-mea-matter-under-consideration-of-uk-govt-congress-pm-modi-poster-boy-of-fraudsters/story/326087.html,corruption
91,nirav modi,https://www.businesstoday.in/current/economy-politics/nirav-modi-london-mea-matter-under-consideration-of-uk-govt-congress-pm-modi-poster-boy-of-fraudsters/story/326087.html,corruption
92,nirav modi,https://www.businesstoday.in/current/economy-politics/nirav-modi-pnb-fraud-singapore-court-orders-to-freeze-assets-worth-rs-44-crore/story/360619.html,fraud
93,nirav modi,https://www.businesstoday.in/current/economy-politics/nirav-modi-pnb-fraud-singapore-court-orders-to-freeze-assets-worth-rs-44-crore/story/360619.html,fraud
94,nirav modi,https://www.forbes.com/sites/ronakdesai/2018/03/07/india-continues-to-be-one-of-the-most-corrupt-countries-in-the-world/,corruption
95,nirav modi,https://www.forbes.com/sites/ronakdesai/2018/03/07/india-continues-to-be-one-of-the-most-corrupt-countries-in-the-world/,corruption
96,nirav modi,https://economictimes.indiatimes.com/news/company/corporate-trends/ex-cognizant-coo-to-pay-50k-fine-in-bribery-case/articleshow/71144904.cms,corruption
97,nirav modi,https://economictimes.indiatimes.com/news/company/corporate-trends/ex-cognizant-coo-to-pay-50k-fine-in-bribery-case/articleshow/71144904.cms,corruption
98,nirav modi,https://www.reuters.com/article/us-punjab-natl-bank-fraud-timeline-idUSKCN1GK15U,corruption
99,nirav modi,https://www.reuters.com/article/us-punjab-natl-bank-fraud-timeline-idUSKCN1GK15U,corruption
100,nirav modi,https://www.reuters.com/article/us-india-agustawestland/indian-court-holds-two-more-people-sent-from-uae-in-helicopter-bribery-case-idUSKCN1PP294?feedType=RSS&feedName=worldNews,corruption
101,nirav modi,https://www.reuters.com/article/us-india-agustawestland/indian-court-holds-two-more-people-sent-from-uae-in-helicopter-bribery-case-idUSKCN1PP294?feedType=RSS&feedName=worldNews,corruption
102,nirav modi,https://www.businesstoday.in/current/economy-politics/pnb-fraud-ed-eyes-nirav-modi-rs-4000-crore-worth-of-foreign-assets/story/282537.html,corruption
103,nirav modi,https://www.businesstoday.in/current/economy-politics/pnb-fraud-ed-eyes-nirav-modi-rs-4000-crore-worth-of-foreign-assets/story/282537.html,corruption
104,nirav modi,https://economictimes.indiatimes.com/news/politics-and-nation/not-only-mallya-and-nirav-36-businessmen-fled-from-country-in-recent-past-ed-informs-court/articleshow/68891980.cms,corruption
105,nirav modi,https://economictimes.indiatimes.com/news/politics-and-nation/not-only-mallya-and-nirav-36-businessmen-fled-from-country-in-recent-past-ed-informs-court/articleshow/68891980.cms,corruption
106,nirav modi,https://www.firstpost.com/business/interpol-issues-red-corner-notice-against-nirav-modis-brother-nehal-modi-7334021.html,corruption
107,nirav modi,https://www.firstpost.com/business/interpol-issues-red-corner-notice-against-nirav-modis-brother-nehal-modi-7334021.html,corruption
108,nirav modi,https://thewire.in/business/india-inc-must-end-its-bribe-settle-and-move-on-culture,corruption
109,nirav modi,https://thewire.in/business/india-inc-must-end-its-bribe-settle-and-move-on-culture,corruption
110,nirav modi,https://www.reuters.com/article/punjab-natl-bank-fraud-timeline-idUSL4N1QN4DP,corruption
111,nirav modi,https://www.reuters.com/article/punjab-natl-bank-fraud-timeline-idUSL4N1QN4DP,corruption
112,nirav modi,https://www.businesstoday.in/current/economy-politics/pnb-fraud-cbi-ed-seize-property-worth-rs-26-crore-raid-nirav-modi-home/story/273293.html,corruption
113,nirav modi,https://www.businesstoday.in/current/economy-politics/pnb-fraud-cbi-ed-seize-property-worth-rs-26-crore-raid-nirav-modi-home/story/273293.html,corruption
114,nirav modi,https://www.firstpost.com/india/fugitive-diamontaire-nirav-modi-arrested-in-london-here-is-a-timeline-of-rs-14000-cr-pnb-scam-case-6296931.html,corruption
115,nirav modi,https://www.firstpost.com/india/fugitive-diamontaire-nirav-modi-arrested-in-london-here-is-a-timeline-of-rs-14000-cr-pnb-scam-case-6296931.html,corruption
116,nirav modi,https://www.ndtv.com/india-news/giving-bribe-also-a-crime-parliament-passes-bill-1889065,corruption
